Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Akkermansia_muciniphila	0.6196083349431882	0.4006614300061052	0.18495205170934004	0.2386509301180929	0.302784665160778	0.5960915547345897	0.7694355446059756	0.49358528741216057	0.5504025306694329	0.787389827034838	-0.22316640075760905
s__Alistipes_indistinctus	0.17074636134917479	0.19862834838915625	0.07525419780865976	0.036129334424265795	0.1503912468362984	-0.08147911690400697	-0.11583722707650496	0.20257577806082439	0.18784066586631326	0.07113816792667078	0.05632381630793855
s__Alistipes_putredinis	0.015815423285824467	-0.04431599586827344	-0.07343687138699964	0.0642120453850092	0.03687189609199809	-0.015985543811976963	-0.07473243386146552	-0.09966697896799126	-0.05419634545663899	-0.042230770089293594	0.040755908885692034
s__Alistipes_shahii	0.0006262715836159749	0.052354891059651916	0.011787965878022597	0.009267563769255525	0.008611068869987968	-0.007592217953865474	0.016878884210004642	0.07259758666298315	0.05811060971998141	0.0143482199693745	0.006432597053338763
s__Allisonella_histaminiformans	-0.18882177634961703	-0.22214571983168935	-0.07485189127023097	-0.04204569979079735	-0.15109978439880023	-0.0766588710980374	-0.10042052069450706	-0.21456090637900346	-0.22689710096128843	-0.08029790188787267	-0.05690716712330967
s__Anaeromassilibacillus_sp_An250	0.08732551958828964	0.11014377098027753	0.03509919375539407	0.019823595205762955	0.07371648280702177	0.02874356972952756	0.03386704815890232	0.09075830827397428	0.08695505522033307	0.029741009531022152	0.030568666654326816
s__Bacteroides_cellulosilyticus	0.13250549123584401	0.06733167716338818	0.1918596066900587	0.14584571365489357	0.1323484623182411	0.02816441385969167	0.13924728955992666	0.1860805624433134	0.08305561403634837	0.14869071727069832	0.19102134958692832
s__Bacteroides_eggerthii	-0.15881452854709108	0.1722939302497211	0.10250405723367406	-0.0558913568388503	-0.11209689820589248	-0.12229925913358267	0.14500749878275862	-0.056490572431463805	0.05307701292564878	0.07142446592095208	0.10664438401497126
s__Bacteroides_intestinalis	-0.2010140617768453	0.07855612671684221	0.20538260485685866	0.28139369471766323	-0.2938423222864917	-0.46757044529132	-0.059429891936819405	0.2168625519320064	-0.1589329724119688	0.1838477956436795	0.3379191921822576
s__Bacteroides_uniformis	0.3309013016877629	-0.05210216670665104	0.09361896551204482	0.2735599999325507	0.3520343111344573	0.5057563588027391	0.2539808095737103	0.22032369169255006	0.37601444982372073	0.4498633690320699	0.29724635166436253
s__Barnesiella_intestinihominis	-0.028735756995393116	-0.006961751424714263	-0.04373569976156386	-0.022163065653575283	-0.02490617995466826	-0.012140172379001975	-0.018635975155338224	-0.052850823714708055	-0.0265464881209401	-0.015771657897673194	0.12126032034068576
s__Blautia_sp_CAG_257	-0.05738765731107662	-0.12985483466050773	-0.14681149428689574	-0.08470712749337882	-0.20628356091104258	-0.1473946621012871	-0.18966401724330592	-0.13325527440377627	-0.10060397213818267	-0.15461878062293402	-0.09711024412624943
s__Blautia_wexlerae	-0.037640274974870123	0.04376935786483492	-0.024032336199480562	-0.022772233684086114	-0.031443045335455236	-0.13825988665832012	-0.13429452289063892	-0.00830766732260153	-0.010239270817601023	-0.10320010849855922	-0.033257457818438224
