Taxa	ko00040	ko00051	ko00130	ko00430	ko00480	ko00531	ko00540	ko00740	ko00790	ko04974	ko05111
s__Akkermansia_muciniphila	0.5996913951607669	0.3913194411460954	0.1797351160873193	0.23161870923918593	0.2918591125152095	0.5849605201427864	0.7456332687920071	0.4761340605995653	0.5215267497705529	0.7617866245023923	-0.2220287540516478
s__Alistipes_indistinctus	0.16675049272587322	0.20073307081097608	0.0719257196814187	0.03614198964586371	0.14702932176076283	-0.08535799159327019	-0.11082961642129334	0.20699029661774407	0.1839652541186664	0.07056306623238572	0.05542747750924308
s__Alistipes_putredinis	0.02356911848880002	-0.02801393074636354	-0.06546719279695269	0.04400399327483989	0.043674591511334016	0.011615635263114946	-0.047935698939249996	-0.06314096880467278	-0.04186006641236346	-0.022278257731813245	0.023602903285057052
s__Alistipes_shahii	0.004865010661010163	0.04231404961206711	0.013200705287506536	0.011157428963879166	0.004472262404522356	-0.008950859458342899	0.02117954800353823	0.06074858291972294	0.052776778702911434	0.01128834504937511	0.008136505098564414
s__Allisonella_histaminiformans	-0.18340850883034765	-0.22648975485741785	-0.07459894168525497	-0.041028819654456525	-0.15382006580842278	-0.07640572443508326	-0.10003678171702116	-0.22120806504257115	-0.22380738280459522	-0.0802466334595526	-0.057423595888095036
s__Anaeromassilibacillus_sp_An250	0.08822477232566231	0.11238512474896006	0.035502190066746486	0.019747917262147262	0.0732848538808415	0.028706519069632376	0.03643831046303463	0.0905418462689559	0.08862455908137033	0.029541285077149412	0.029835494344554257
s__Bacteroides_cellulosilyticus	0.13418054143426683	0.06588457580071116	0.2053017606548153	0.15076394944700702	0.13003064229403016	0.033842511950620636	0.14577506119972114	0.19509523293558673	0.08374265602223166	0.15478293250174774	0.20382930661794713
s__Bacteroides_eggerthii	-0.1681659349190578	0.16452843852205248	0.0890201227375462	-0.06092947234968234	-0.11641536940245314	-0.12445826246138877	0.14158715416369533	-0.05488551306928677	0.0466272419342127	0.058581429009819816	0.09672024088445752
s__Bacteroides_intestinalis	-0.19644803248571135	0.07942453675063191	0.20494702029411663	0.2769051170719483	-0.29260448958262997	-0.4739345295932491	-0.06121453156810089	0.21885227935356638	-0.15819378922386218	0.1902020682776957	0.3356308353157824
s__Bacteroides_uniformis	0.32856840519822234	-0.05585049131237778	0.09410121532461682	0.2541482413931607	0.32070217846971405	0.44755916146535085	0.20622732330227317	0.21582150158934338	0.36371726260411424	0.38898758635443925	0.3088366764842816
s__Barnesiella_intestinihominis	-0.03316751987540238	-0.003596673101528061	-0.03032044694082686	-0.02254149760264914	-0.024464415589610895	0.0032334865417651465	-0.018440164107031927	-0.04480075138656785	-0.04147646820486198	-0.009482969999390887	0.13689599443342443
s__Blautia_sp_CAG_257	-0.05971392353435183	-0.1324708899736775	-0.14584755774168934	-0.08619275760078723	-0.21020759461130273	-0.15103774706667322	-0.18326421959633332	-0.12945207765812877	-0.1025101103430034	-0.14946816174056607	-0.09603539491033092
s__Blautia_wexlerae	-0.031892847666622044	0.031155212948343884	-0.03327943201300373	-0.03434717234470979	-0.02514081536467324	-0.12678800570327878	-0.14713701079883204	-0.009549835741982883	-0.0011761332196973426	-0.10953523641469648	-0.049052004915575514
s__Butyricimonas_synergistica	0.0784511123084767	0.09278079287090517	0.029080967228147615	0.01347661445693886	0.06544678114921403	0.025390682086990725	0.033085873284447904	0.08351742404718492	0.08986685419373763	0.03002834922318806	0.02520697725734322
s__Collinsella_intestinalis	0.026299352336320036	-0.068773879730608	0.09656046695215871	0.1262826414592676	0.24956125145134894	-0.025253431352196612	-0.07880303726948726	0.09800547084206815	0.25528918211675694	0.03581469943212388	-0.14161038121112207
s__Collinsella_stercoris	-0.05326947364832621	-0.047159352475260666	-0.019935845191326892	-0.010235385566031475	-0.02950257333143829	-0.03587100742588557	-0.05358057531385957	-0.06987118175903897	-0.09647178186198405	-0.041451129607669196	-0.008951563308264915
s__Coprobacter_fastidiosus	-0.05275566320525082	-0.03917628665969687	-0.048315074047219395	0.03459985446671539	-0.04226055701799349	-0.04978893578393166	-0.036888774413128135	-0.017424508669555437	-0.07841099286292147	-0.04542999321685473	0.046378079061817186
s__Coprobacter_secundus	0.042171871927818835	0.05424571349016957	0.01504127283359185	0.006310014550919547	0.02996852197981626	0.007869042128196384	0.017950284561305225	0.04463041970543871	0.043038311181826897	0.012619325251917104	0.012297665837553422
s__Coprococcus_eutactus	0.049688285245082654	0.0957644126903528	0.08507434007469566	0.09457561017205908	0.04188329345979021	0.07299275616320273	0.08480617325440568	0.09079241684119548	0.06864789059456622	0.07611925751682064	0.07705185866349862
s__Eisenbergiella_tayi	0.02733964252106727	0.009112744940407745	-0.002383939685885643	-0.06410946629737388	-0.01564869531629607	0.055901168506763285	0.05556120899442711	-0.07159491021806874	0.04068956399204235	-0.06334930838159106	-0.057572108221641494
s__Eubacterium_eligens	-0.06400459265899269	-0.14187080568226987	-0.05656771438291735	0.055368354115793314	8.094274103244447e-05	0.01500959958710089	-0.11104921759696393	-0.0587010834965634	-0.07771840453965265	-0.025150669263581553	0.08916581967140452
